Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,UCSC,145.310000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
1,NOAA SC,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,NOAA MY,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,NOAA SF,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,UCSC PD,155.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,UCSC FD,154.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,SCPD,154.770000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,SC SHRF,155.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,SC FD,154.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,WB6ECE,441.300000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
10,WR6AOK,147.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
11,K6BJ,146.790000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
12,EMPIRE,442.750000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
13,SF ARC,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
14,,470.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
